"ACWolfsberger"	144
"AFCEskilstuna"	18
"AIK"	126
"Aalborg"	133
"Aalesund"	105
"Aarau"	46
"Aarhus"	102
"Admira"	159
"AkhmatGrozny"	135
"AlbirexNiigata"	116
"Aldosivi"	36
"AllBoys"	41
"Altach"	91
"AmericaMG"	33
"Amkar"	146
"ArgentinosJrs"	77
"ArkaGdynia"	29
"ArsenalSarandi"	96
"ArsenalTula"	79
"Astra"	99
"Athlone"	14
"Atl.Rafaela"	86
"Atl.SanLuis"	18
"Atl.Tucuman"	31
"AtlantaUnited"	26
"Atlante"	31
"Atlas"	107
"Atletico-MG"	150
"Atletico-PR"	120
"AtleticoGO"	42
"Atvidabergs"	68
"AustriaVienna"	155
"Avai"	36
"AvispaFukuoka"	23
"Bahia"	100
"Banfield"	51
"Basel"	146
"BeijingGuoan"	81
"BeijingRenhe"	45
"Belgrano"	90
"Bistrita"	15
"BocaJuniors"	118
"Bodo/Glimt"	59
"Bohemians"	126
"BotafogoRJ"	116
"Brann"	106
"Bray"	103
"Brommapojkarna"	52
"Brondby"	121
"C-Osaka"	79
"CFRCluj"	105
"CSKAMoscow"	141
"CSTurnuSeverin"	13
"CSU.Craiova"	69
"Calarasi"	2
"Ceahlaul"	57
"Ceara"	9
"ChacaritaJuniors"	7
"ChangchunYatai"	72
"Chapecoense-SC"	82
"Chiapas"	80
"ChicagoFire"	135
"ChindiaTargoviste"	0
"ChivasUSA"	64
"ChongqingLifan"	72
"ClubAmerica"	148
"ClubLeon"	125
"ClubTijuana"	132
"CobhRamblers"	2
"ColonSantaFE"	96
"ColoradoRapids"	124
"ColumbusCrew"	146
"Concordia"	123
"Corinthians"	145
"Coritiba"	123
"CorkCity"	111
"CoronaBrasov"	11
"Cracovia"	107
"Criciuma"	49
"CrucerodelNorte"	15
"CruzAzul"	120
"Cruzeiro"	145
"DCUnited"	152
"Daco-GeticaBucuresti"	0
"DalianYifangF.C."	25
"Dalkurd"	13
"DefensayJusticia"	63
"DerryCity"	113
"Din.Bucuresti"	103
"Djurgarden"	135
"DoradosdeSinaloa"	18
"Drogheda"	95
"Dundalk"	105
"DynamoMoscow"	122
"Elfsborg"	127
"Esbjerg"	104
"EstudiantesL.P."	104
"FCBotosani"	94
"FCBrasov"	49
"FCCopenhagen"	133
"FCDallas"	141
"FCHermannstadt"	3
"FCJuventusBucuresti"	15
"FCRapidBucuresti"	33
"FCSteauaBucuresti"	121
"FCTambov"	2
"FCTokyo"	104
"FKAnziMakhackala"	133
"FKKrylyaSovetovSamara"	86
"FKRostov"	142
"Falkenbergs"	58
"Figueirense"	84
"FinnHarps"	44
"FlamengoRJ"	142
"Fluminense"	146
"Fredrikstad"	17
"G-Osaka"	108
"GAIS"	14
"GKSBelchatow"	34
"Galway"	55
"GazMetanMedias"	101
"Gefle"	103
"GimnasiaL.P."	71
"GodoyCruz"	78
"Goias"	82
"GornikZ."	114
"Goteborg"	132
"Grasshoppers"	132
"Gremio"	149
"Grodig"	62
"GuadalajaraChivas"	109
"GuangzhouEvergrande"	83
"GuangzhouR&F"	96
"GuizhouZhicheng"	28
"HIFK"	47
"HJK"	109
"Hacken"	135
"Haka"	14
"Halmstad"	70
"Hammarby"	86
"HangzhouGreentown"	57
"Hartberg"	10
"Haugesund"	110
"Hebei"	49
"Helsingborg"	106
"Helsingor"	17
"HenanJianye"	87
"Hiroshima"	110
"Hobro"	59
"Honefoss"	22
"Honka"	62
"Horsens"	66
"HoustonDynamo"	144
"Huracan"	48
"Ilves"	64
"Independiente"	90
"InterTurku"	119
"Internacional"	132
"Iwata"	77
"JJKJyvaskyla"	51
"Jagiellonia"	128
"Jaro"	61
"Jerv"	3
"JiangsuSuning"	76
"Joinville"	20
"Jonkopings"	47
"KPVKokkola"	0
"KTP"	21
"Kalmar"	130
"Kashima"	124
"Kashiwa"	111
"KawasakiFrontale"	121
"Kobe"	101
"Kofu"	95
"KoronaKielce"	126
"Krasnodar"	156
"Kristiansund"	28
"KuPS"	95
"Kuban"	94
"LASKLinz"	33
"Lahti"	103
"Lanus"	106
"Lausanne"	95
"LechPoznan"	127
"LechiaGdansk"	125
"Leczna"	53
"Legia"	137
"Legnica"	3
"LeonesNegros"	22
"Liaoning"	69
"Lillestrom"	128
"Limerick"	95
"Ljungskile"	2
"LobosBUAP"	18
"LokomotivMoscow"	140
"Longford"	40
"LosAngelesFC"	14
"LosAngelesGalaxy"	157
"Lugano"	72
"Luzern"	143
"Lyngby"	40
"M.Saransk"	66
"MalmoFF"	124
"Mariehamn"	117
"Mattersburg"	92
"Mervue"	1
"Midtjylland"	125
"Minnesota"	41
"Mjallby"	45
"Mjondalen"	20
"Molde"	114
"Monaghan"	6
"Monarcas"	136
"MontedioYamagata"	16
"Monterrey"	128
"MontrealImpact"	132
"MyPa"	55
"Nagoya"	108
"Nautico"	43
"Navodari"	11
"Necaxa"	33
"Neustadt"	82
"NewEnglandRevolution"	139
"NewYorkCity"	85
"NewYorkRedBulls"	155
"NewellsOldBoys"	101
"Nordsjaelland"	139
"Norrkoping"	131
"NuevaChicago"	16
"Odd"	107
"Odense"	121
"Oita"	14
"OlimpoBahiaBlanca"	67
"OmiyaArdija"	90
"Orebro"	101
"Orenburg"	37
"OrlandoCity"	74
"Osters"	14
"Ostersunds"	53
"Otelul"	47
"PK-35Vantaa"	21
"PSKemi"	36
"Pachuca"	104
"Palmeiras"	116
"Pandurii"	88
"Parana"	10
"Patronato"	32
"Petrolul"	63
"PhiladelphiaUnion"	119
"PiastGliwice"	118
"Plock"	39
"Podbeskidzie"	84
"PogonSzczecin"	116
"PoliIasi"	89
"PoliTimisoara"	68
"PoloniaWarszawa"	17
"PontePreta"	103
"PortlandTimbers"	140
"Portuguesa"	47
"Puebla"	97
"Queretaro"	111
"Quilmes"	85
"RacingClub"	110
"RandersFC"	115
"Ranheim"	14
"RapidVienna"	156
"RealSaltLake"	133
"Ried"	115
"RiverPlate"	113
"RosarioCentral"	71
"Rosenborg"	120
"Rovaniemi"	88
"RubinKazan"	140
"Ruch"	113
"SJK"	78
"SKAKhabarovsk"	23
"SaganTosu"	103
"Salzburg"	151
"SanJoseEarthquakes"	127
"SanLorenzo"	104
"SanMartinS.J."	58
"SanMartinT."	2
"SandecjaNowyS."	16
"Sandefjord"	45
"Sandnes"	45
"SantaCruz"	20
"Santos"	145
"SantosLaguna"	131
"SaoPaulo"	146
"Sapporo"	43
"SarmientoJunin"	30
"Sarpsborg08"	96
"SeattleSounders"	154
"Sepsi"	14
"Servette"	18
"ShamrockRovers"	104
"ShandongLuneng"	86
"ShanghaiSIPG"	81
"ShanghaiShenhua"	79
"ShanghaiShenxin"	39
"Shelbourne"	32
"Shijiazhuang"	33
"Shimizu"	86
"Shonan"	68
"Silkeborg"	69
"Sion"	140
"Sirius"	40
"SlaskWroclaw"	117
"SligoRovers"	117
"Sogndal"	76
"Sonderjyske"	122
"SpartakMoscow"	153
"SpartakNalchik"	1
"SportRecife"	129
"SportingKansasCity"	141
"St.Gallen"	138
"St.Patricks"	108
"St.Polten"	55
"Stabaek"	94
"Start"	72
"Stromsgodset"	108
"SturmGraz"	158
"Sundsvall"	90
"Syrianska"	38
"T.Moscow"	28
"TPS"	52
"TalleresCordoba"	26
"TarguMures"	55
"Temperley"	52
"TermalicaB-B."	49
"Thun"	150
"TianjinQuanjian"	33
"TianjinTeda"	79
"Tigre"	111
"Tokushima"	13
"Toluca"	110
"Tomsk"	50
"TorontoFC"	147
"Tosno"	27
"Trelleborgs"	12
"Tromso"	96
"U.A.N.L.-Tigres"	147
"U.Cluj"	46
"U.N.A.M.-Pumas"	111
"UCDublin"	56
"UCraiova1948CS"	3
"UTAArad"	2
"Ufa"	107
"Ull/Kisa"	1
"UniondeSantaFe"	75
"Ural"	116
"Urawa"	117
"V-VarenNagasaki"	9
"VPS"	97
"Vaduz"	66
"Valerenga"	122
"VancouverWhitecaps"	136
"Vasco"	99
"Vaslui"	28
"VegaltaSendai"	115
"Vejle"	6
"VelezSarsfield"	111
"Vendsyssel"	2
"VendsysselFF"	3
"Veracruz"	90
"Vestsjaelland"	46
"Viborg"	63
"ViitorulConstanta"	108
"Viking"	110
"Vitoria"	95
"Vladikavkaz"	16
"VolgaN.Novgorod"	45
"Volgar-Astrakhan"	2
"Voluntari"	59
"WackerInnsbruck"	51
"Waterford"	18
"Wexford"	21
"WidzewLodz"	37
"Wisla"	126
"Xamax"	5
"Yamaga"	15
"Yanbian"	34
"Yenisey"	8
"YokohamaM."	118
"YoungBoys"	144
"Zaglebie"	89
"ZaglebieSosnowiec"	7
"Zawisza"	49
"ZenitPetersburg"	155
"ZhejiangYiteng"	16
"Zurich"	101
















